date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:59	12898/12898	---M--	200	added ('OK')	image/jpeg	etag:%2232de-4eeae0ba62280%22	https://orteil.dashnet.org/cookieclicker/img/mapBG.jpg	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/mapBG.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:59	83/83	---M--	200	added ('OK')	image/png	etag:%225e-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/infoBG.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/infoBG.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:59	232/232	---M--	200	added ('OK')	image/png	etag:%22114-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/infoBGfade.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/infoBGfade.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:59	120/120	---M--	200	added ('OK')	image/png	etag:%223cb-5009ca663a680%22	https://orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/blackGradientSmallTop.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:00	17406/17406	---M--	200	added ('OK')	image/png	etag:%224e32-530cf98a70740%22	https://orteil.dashnet.org/cookieclicker/img/upgradeFrame.png?v=2	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/upgradeFrame5e1f.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:00	143/143	---M--	200	added ('OK')	image/png	etag:%223ee-52216bc47cbc0%22	https://orteil.dashnet.org/cookieclicker/img/upgradeSelector.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/upgradeSelector.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:00	9348/9348	---M--	200	added ('OK')	image/png	etag:%222d32-5222d3f371340%22	https://orteil.dashnet.org/cookieclicker/img/pieFill.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/pieFill.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:00	10392/10392	---M--	200	added ('OK')	image/png	etag:%2238c5-513e77bcda0c0%22	https://orteil.dashnet.org/cookieclicker/img/ascendSlot.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/ascendSlot.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:01	4253/4253	---M--	200	added ('OK')	image/gif	etag:%22109d-52ae0c5cadac0%22	https://orteil.dashnet.org/cookieclicker/img/linkPulse.gif	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/linkPulse.gif	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:01	17730/17730	---M--	200	added ('OK')	image/jpeg	etag:%22481e-4eeae0ba62280%22	https://orteil.dashnet.org/cookieclicker/img/storeTile.jpg	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/storeTile.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:01	807/807	---M--	200	added ('OK')	image/png	etag:%227de-5512e66776740%22	https://orteil.dashnet.org/cookieclicker/img/levelUp.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/levelUp.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:01	3856/3856	---M--	200	added ('OK')	image/png	etag:%221003-4eea0270a3100%22	https://orteil.dashnet.org/cookieclicker/img/goldCookie.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/goldCookie.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:02	11894/11894	---M--	200	added ('OK')	image/jpeg	etag:%223e0a-521fa45d9de40%22	https://orteil.dashnet.org/cookieclicker/img/sparkles.jpg	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/sparkles.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:02	1990/1990	---M--	200	added ('OK')	image/png	etag:%22b9d-526bbc73da8c0%22	https://orteil.dashnet.org/cookieclicker/img/featherLeft.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/featherLeft.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:02	1985/1985	---M--	200	added ('OK')	image/png	etag:%22bb8-526bbc8410f00%22	https://orteil.dashnet.org/cookieclicker/img/featherRight.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/featherRight.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:02	19620/19620	---M--	200	added ('OK')	image/png	etag:%22569a-52751d650b140%22	https://orteil.dashnet.org/cookieclicker/img/ascendBox.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/ascendBox.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:03	9458/9458	---M--	200	added ('OK')	image/png	etag:%222ba8-52751d997ed00%22	https://orteil.dashnet.org/cookieclicker/img/ascendInfo.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/ascendInfo.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:22:03	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	http://orteil.dashnet.org/robots.txt		(from https://orteil.dashnet.org/cookieclicker/)
14:22:04	318/318	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2213e-4e5694a329b80%22	http://orteil.dashnet.org/cookieclicker/beta/img/favicon.ico	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/img/favicon.ico	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:04	3146/3146	---M-Z	200	added ('OK')	text/javascript	etag:%22c4a-4e56895b6fe80-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/base64.js	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/base64.js	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:04	64895/64895	---M-Z	200	added ('OK')	text/css	etag:%22fd7f-5fa9570cb5c40-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/style.css?v=9	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/stylec164.css	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:05	253/253	---M-Z	200	added ('OK')	text/javascript	etag:%22fd-583359271f340-gzip%22	http://orteil.dashnet.org/cookieclicker/beta/showads.js	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/showads.js	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:05	1318/1318	---M--	200	added ('OK')	image/png	etag:%22935-565ab4f315780%22	http://orteil.dashnet.org/cookieclicker/beta/img/discord.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/img/discord.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:05	1688/1688	---M--	200	added ('OK')	image/png	etag:%22a5b-522d4feb15940%22	http://orteil.dashnet.org/cookieclicker/beta/img/weeHoodie.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/img/weeHoodie.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:05	1335/1335	---M--	200	added ('OK')	image/png	etag:%2296d-577db4a8003c0%22	http://orteil.dashnet.org/cookieclicker/beta/img/patreon.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/img/patreon.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
14:22:06	2748/2748	---M--	200	added ('OK')	image/png	etag:%22e8d-577ce7d6fcac0%22	http://orteil.dashnet.org/cookieclicker/beta/img/heraldFlag.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/img/heraldFlag.png	(from http://orteil.dashnet.org/cookieclicker/beta/)
